Senator|Estimated Holdings|Symbol|Company|Sector|Industry|
Bill Cassidy (R-LA)|$228,000|JNBAX|JPMorgan Income Builder Select|||
James M Inhofe (R-OK)|$228,000|COST|Costco Wholesale|||
Bill Cassidy (R-LA)|$227,800|OAKBX|Oakmark Equity & Income Fund|||
Ted Cruz (R-TX)|$227,100|EPD|Enterprise Products Partners|||
Tina Smith (D-MN)|$226,800|MDT|Medtronic Inc|||
John Hoeven (R-ND)|$226,300|AVGO|Broadcom Inc.|Technology|Semiconductors|
David Perdue (R-GA)|$225,600|MOS|Mosaic Co|||
Tim Kaine (D-VA)|$225,400|VWIAX|Vanguard Wellesley Income Inv|||
Tina Smith (D-MN)|$224,400|USB|U.S. Bancorp|||
Sheldon Whitehouse (D-RI)|$223,900|UNH|Unitedhealth Group|||
Lamar Alexander (R-TN)|$223,500|GTEYX|Gateway Y|||
Ron Wyden (D-OR)|$223,300|DFSTX|DFA US Small Cap Fund|||
Kelly Loeffler (R-GA)|$222,100|CME|CME Group Inc.|Finance|Investment Bankers/Brokers/Service|
Mitch McConnell (R-KY)|$222,000|AGTHX|American Funds Growth Fund of America|||
John Hoeven (R-ND)|$221,000|MGBIX|AMG Managers Bond Service (NASDAQ)|||
Tim Kaine (D-VA)|$219,900|SGENX|First Eagle Funds - Global Fund Mutual Fund|||
David Perdue (R-GA)|$219,400|WPX|WPX Energy|||
Sheldon Whitehouse (D-RI)|$217,700|SBUX|Starbucks Corp|||
Ben Sasse (R-NE)|$217,300|VUG|Vanguard Growth ETF|||
David Perdue (R-GA)|$217,200|JPM|JPMorgan Chase & Co|||
Kamala Harris (D-CA)|$217,200|EPP|iShares MSCI Pacific ex Japan ETF|||
Richard Burr (R-NC)|$215,700|EPD|Enterprise Products Partners|||
Ron Wyden (D-OR)|$215,400|MCLOX|Blackrock Global Allocation Fund|||
Susan Collins (R-ME)|$215,300|ECL|Ecolab Inc|||
Mark Warner (D-VA)|$215,100|IWP|iShares Russell Mid Cap Growth ETF|||
Pat Toomey (R-PA)|$214,300|PHD|PHILLIPS EDISON GR|||
Sheldon Whitehouse (D-RI)|$214,100|PG|Procter & Gamble|||
Dan Sullivan (R-AK)|$214,100|MCLOX|Blackrock Global Allocation Fund|||
John Hoeven (R-ND)|$212,500|VFC|V.F. Corporation|||
Kelly Loeffler (R-GA)|$211,900|CVX|Chevron Corp|||
Ben Cardin (D-MD)|$211,600|GVI|iShares Interm Government/Credit Bond|||
David Perdue (R-GA)|$211,500|FDX|FedEx Corp|||
Tom Carper (D-DE)|$211,200|SPY|S&P 500 EFT|||
Ron Wyden (D-OR)|$210,700|MERFX|MERFX - Merger (NASDAQ)|||
Lamar Alexander (R-TN)|$209,900|PAAIX|Pimco All Asset Institutional Fund|||
Ron Wyden (D-OR)|$209,600|GTECX|Gateway Fund|||
Pat Toomey (R-PA)|$209,500|CAPL|CrossAmerica Partners|||
Sheldon Whitehouse (D-RI)|$209,400|BAC|Bank of America|||
Pat Toomey (R-PA)|$209,000|SDY|SDY-SPDR S&P Dividend ETF|||
Tina Smith (D-MN)|$208,900|PEP|Pepsico Inc|||
John Boozman (R-AR)|$208,200|GSY|INVESCO short term treas MM|||
Tim Kaine (D-VA)|$207,400|BMY|Bristol-Myers Squibb|||
Ron Wyden (D-OR)|$206,900|ODMAX|Oppenheimer Developing Markets Fund|||
Steve Daines (R-MT)|$206,800|AMUSX|American Funds US Government Sec Fund|||
John Hoeven (R-ND)|$206,100|CAT|Caterpillar Inc|||
Amy Klobuchar (D-MN)|$205,500|FJRLX|Fidelity Adv Limited Term Bond|||
Bill Cassidy (R-LA)|$204,200|IVWAX|IVA Worldwide I|||
Kamala Harris (D-CA)|$204,200|LQD|iShares iBoxx $ Invmt Grade Corp Bd ETF|||
Ron Wyden (D-OR)|$203,800|BGT|BlackRock Floating Rate Income Fund|||
Dan Sullivan (R-AK)|$202,800|MDNLX|BlackRock National Municipal Fund|||
John Boozman (R-AR)|$202,100|STT|State Street Bank & Trust Co|||
David Perdue (R-GA)|$201,400|FEYE|FireEye Inc|||
Kamala Harris (D-CA)|$200,700|EWC|iShares MSCI Canada ETF|||
Kelly Loeffler (R-GA)|$200,200|CTXS|Citrix Systems, Inc.|Technology|Computer Software: Prepackaged Software|
