Senator,Estimated Holdings,Symbol,Company,Sector,Industry,P,S
John Hoeven (R-ND),212500,VFC,V.F. Corporation,Technology,Computer Software: Prepackaged Software,R,ND
Kelly Loeffler (R-GA),211900,CVX,Chevron Corp,Technology,Computer Software: Prepackaged Software,R,GA
Ben Cardin (D-MD),211600,GVI,iShares Interm Government/Credit Bond,Technology,Computer Software: Prepackaged Software,D,MD
David Perdue (R-GA),211500,FDX,FedEx Corp,Technology,Computer Software: Prepackaged Software,R,GA
Tom Carper (D-DE),211200,SPY,S&P 500 EFT,Technology,Computer Software: Prepackaged Software,D,DE
Ron Wyden (D-OR),210700,MERFX,MERFX - Merger (NASDAQ),Technology,Computer Software: Prepackaged Software,D,OR
Lamar Alexander (R-TN),209900,PAAIX,Pimco All Asset Institutional Fund,Technology,Computer Software: Prepackaged Software,R,TN
Ron Wyden (D-OR),209600,GTECX,Gateway Fund,Technology,Computer Software: Prepackaged Software,D,OR
Pat Toomey (R-PA),209500,CAPL,CrossAmerica Partners,Technology,Computer Software: Prepackaged Software,R,PA
Sheldon Whitehouse (D-RI),209400,BAC,Bank of America,Technology,Computer Software: Prepackaged Software,D,RI
Pat Toomey (R-PA),209000,SDY,SDY-SPDR S&P Dividend ETF,Technology,Computer Software: Prepackaged Software,R,PA
Tina Smith (D-MN),208900,PEP,Pepsico Inc,Technology,Computer Software: Prepackaged Software,D,MN
John Boozman (R-AR),208200,GSY,INVESCO short term treas MM,Technology,Computer Software: Prepackaged Software,R,AR
Tim Kaine (D-VA),207400,BMY,Bristol-Myers Squibb,Technology,Computer Software: Prepackaged Software,D,VA
Ron Wyden (D-OR),206900,ODMAX,Oppenheimer Developing Markets Fund,Technology,Computer Software: Prepackaged Software,D,OR
Steve Daines (R-MT),206800,AMUSX,American Funds US Government Sec Fund,Technology,Computer Software: Prepackaged Software,R,MT
John Hoeven (R-ND),206100,CAT,Caterpillar Inc,Technology,Computer Software: Prepackaged Software,R,ND
Amy Klobuchar (D-MN),205500,FJRLX,Fidelity Adv Limited Term Bond,Technology,Computer Software: Prepackaged Software,D,MN
Bill Cassidy (R-LA),204200,IVWAX,IVA Worldwide I,Technology,Computer Software: Prepackaged Software,R,LA
Kamala Harris (D-CA),204200,LQD,iShares iBoxx $ Invmt Grade Corp Bd ETF,Technology,Computer Software: Prepackaged Software,D,CA
Ron Wyden (D-OR),203800,BGT,BlackRock Floating Rate Income Fund,Technology,Computer Software: Prepackaged Software,D,OR
Dan Sullivan (R-AK),202800,MDNLX,BlackRock National Municipal Fund,Technology,Computer Software: Prepackaged Software,R,AK
John Boozman (R-AR),202100,STT,State Street Bank & Trust Co,Technology,Computer Software: Prepackaged Software,R,AR
David Perdue (R-GA),201400,FEYE,FireEye Inc,Technology,Computer Software: Prepackaged Software,R,GA
Kamala Harris (D-CA),200700,EWC,iShares MSCI Canada ETF,Technology,Computer Software: Prepackaged Software,D,CA
Kelly Loeffler (R-GA),200200,CTXS,"Citrix Systems, Inc.",Technology,Computer Software: Prepackaged Software,R,GA
Sheldon Whitehouse (D-RI),200000,NKE,Nike Inc,Consumer Services,Real Estate Investment Trusts,D,RI
Sheldon Whitehouse (D-RI),199100,PEP,Pepsico Inc,Consumer Services,Real Estate Investment Trusts,D,RI
John Cornyn (R-TX),198900,ANEFX,American Funds New Economy Fund,Consumer Services,Real Estate Investment Trusts,R,TX
Tina Smith (D-MN),198800,GIS,General Mills,Consumer Services,Real Estate Investment Trusts,D,MN
Dianne Feinstein (D-CA),198200,USFD,U.S. Foods Holding Group,Consumer Services,Real Estate Investment Trusts,D,CA
Rob Portman (R-OH),197800,VMLUX,Vanguard Limited Tax-Exempt Fund,Consumer Services,Real Estate Investment Trusts,R,OH
Kamala Harris (D-CA),197800,VSGAX,Vanguard Small Cap Growth Index,Consumer Services,Real Estate Investment Trusts,D,CA
Rob Portman (R-OH),197300,SDY,SDY-SPDR S&P Dividend ETF,Consumer Services,Real Estate Investment Trusts,R,OH
Susan Collins (R-ME),196500,AMT,American Tower Corporation (REIT),Consumer Services,Real Estate Investment Trusts,R,ME
Kamala Harris (D-CA),196200,EWJ,iShares Inc - iShares MSCI Japan ETF,Consumer Services,Television Services,D,CA
Richard Burr (R-NC),196000,USB,U.S. Bancorp,Consumer Services,Television Services,R,NC
Richard Blumenthal (D-CT),195100,GBDC,Golub BDC Inc,Consumer Services,Television Services,D,CT
Jerry Moran (R-KS),194700,FZAHX,Fidelity Growth Opportunity Fund,Consumer Services,Television Services,R,KS
Ron Wyden (D-OR),193200,JHAIX,JHancock Global Absolute Ret Strats I,Consumer Services,Television Services,D,OR
David Perdue (R-GA),192800,HBI,Hanesbrands Inc.,Consumer Services,Television Services,R,GA
Tim Kaine (D-VA),192600,LSBDX,Loomis Sayles Bond Institutional,Consumer Services,Television Services,D,VA
